year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2012,The Perks of Being a Wallflower,Stephen Chbosky,8,Drama,Romance,127,6120,Logan Lerman,Emma Watson,Ezra Miller,,
2009,Star Trek,J.J. Abrams,8,Action,Adventure,128,7620,Chris Pine,Zachary Quinto,Simon Pegg,,
2013,One Direction: This Is Us,Morgan Spurlock,3.1,Documentary,Music,129,5520,Liam Payne,Harry Styles,Zayn Malik,,
2012,Cloud Atlas,Tom Tykwer,7.6,Adventure,Drama,130,10320,Tom Hanks,Halle Berry,Hugh Grant,Andy Wachowski,Lana Wachowski
2011,Harry Potter and the Deathly Hallows: Part 2,David Yates,8.1,Adventure,Family,131,7800,Daniel Radcliffe,Emma Watson,Rupert Grint,,
2013,Empire State,Dito Montiel,5,Action,Drama,132,5640,Liam Hemsworth,Michael Angarano,Dwayne Johnson,,
2013,The Frozen Ground,Scott Walker,6.2,Biography,Crime,133,6300,Nicolas Cage,Vanessa Hudgens,John Cusack,,
2013,The Wolf of Wall Street,Martin Scorsese,,Biography,Crime,134,,Leonardo DiCaprio,P.J. Byrne,Jon Favreau,,
2011,Thor,Kenneth Branagh,7,Action,Adventure,135,6900,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Joss Whedon,
2010,I Spit on Your Grave,Steven R. Monroe,6.2,Crime,Horror,136,6480,Sarah Butler,Jeff Branson,Andrew Howard,,
2004,The Notebook,Nick Cassavetes,7.9,Drama,Romance,137,7380,Gena Rowlands,James Garner,Rachel McAdams,,
2012,Looper,Rian Johnson,7.5,Action,Crime,139,7140,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,,
2013,The Spectacular Now,James Ponsoldt,7.7,Comedy,Drama,140,5700,Miles Teller,Shailene Woodley,Kyle Chandler,,
2013,The Heat,Paul Feig,6.9,Action,Comedy,141,7020,Sandra Bullock,Michael McDonald,Melissa McCarthy,,
2009,Inglourious Basterds,Quentin Tarantino,8.3,Adventure,Drama,142,9180,Brad Pitt,Diane Kruger,Eli Roth,Eli Roth,
1972,The Godfather,Francis Ford Coppola,9.2,Crime,Drama,143,10500,Marlon Brando,Al Pacino,James Caan,,
2002,Slackers,Dewey Nicks,4.9,Comedy,Romance,4981,5160,Devon Sawa,Robert B. Martin Jr.,Jason Segel,,
2008,From Within,Phedon Papamichael,5.6,Horror,Mystery,4982,5340,Elizabeth Rice,Thomas Dekker,Kelly Blatz,,
2010,Les aventures extraordinaires d'Adele Blanc-Sec,Luc Besson,6.1,Action,Adventure,4983,6420,Louise Bourgoin,Mathieu Amalric,Gilles Lellouche,,
1993,Searching for Bobby Fischer,Steven Zaillian,7.5,Comedy,Drama,4984,6540,Joe Mantegna,Ben Kingsley,Max Pomeranc,,
2012,Sassy Pants,Coley Sohn,6.1,Comedy,Drama,4985,,Haley Joel Osment,Anna Gunn,Ashley Rickards,,
1982,The Verdict,Sidney Lumet,7.7,Drama,,4986,7740,Paul Newman,Charlotte Rampling,Jack Warden,,
1999,For Love of the Game,Sam Raimi,6.3,Drama,Romance,4987,8220,Kevin Costner,Kelly Preston,John C. Reilly,,
1998,Dance with Me,Randa Haines,5.2,Drama,Romance,4988,7560,Vanessa Williams,Chayanne,Kris Kristofferson,,
2008,The Accidental Husband,Griffin Dunne,5.4,Comedy,Romance,4989,5400,Uma Thurman,Jeffrey Dean Morgan,Justina Machado,,
1962,Cape Fear,J. Lee Thompson,7.7,Thriller,,4991,6300,Gregory Peck,Robert Mitchum,Polly Bergen,,
1957,Trooper Hook,Charles Marquis Warren,6.5,Western,,4992,4860,Joel McCrea,Barbara Stanwyck,Earl Holliman,,
1963,Lord of the Flies,Peter Brook,7.1,Adventure,Drama,4993,5520,James Aubrey,Tom Chapin,Hugh Edwards,,
1992,Como agua para chocolate,Alfonso Arau,7.1,Drama,Romance,4994,6300,Marco Leonardi,Lumi Cavazos,Regina Torne,,
2012,Renoir,Gilles Bourdos,6.4,Drama,,4995,6660,Michel Bouquet,Christa Theret,Vincent Rottiers,,
2006,The Contract,Bruce Beresford,5.6,Action,Crime,4996,5760,John Cusack,Morgan Freeman,Jamie Anderson,,
2010,The Clinic,James Rabbitts,5.2,Crime,Horror,4999,5640,Tabrett Bethell,Freya Stafford,Andy Whitfield,,
2004,Little Black Book,Nick Hurran,5.1,Comedy,Romance,5000,6660,Brittany Murphy,Ron Livingston,Holly Hunter,,
